"103","Seattle Seahawks","DST","SEA","9","6","13","1","11","2","16","2","5","BYE","5","20","14","7","1","3","16","5","8","136"
"104","Zay Flowers","WR","BAL","5.1","15.1","2.3","1","12","13.4","3","11.5","24.7","3.4","9.9","6.2","7.1","BYE","5.3","10.3","3.1","2.1","8","135.5"
"105","Kenneth Walker III","RB","SEA","16.9","-","-","29.6","7.6","12.9","21.3","4.5","10.7","BYE","11.9","9.3","4.6","-","-","5.9","-","-","12.3","135.2"
"105","Calvin Ridley","WR","TEN","5","20.7","0.9","1.5","BYE","0.9","4.2","12.6","7.3","20.4","5.8","9.3","4.5","5.9","6","13.8","9.1","7.3","8","135.2"
"107","Philadelphia Eagles","DST","PHI","3","1","7","3","BYE","9","15","6","9","20","6","8","4","4","8","7","19","6","7.9","135"
"107","Joshua Karty","K","LAR","9","4","9","15","1","BYE","2","4","8","19","4","2","3","8","13","8","9","17","7.9","135"
"109","Marvin Harrison Jr.","WR","ARI","0.4","25","12.4","10.5","3.6","0","2.1","17.1","1.4","11.4","BYE","4.7","12","4.9","3.2","3.9","9.6","12.3","7.9","134.5"
"110","Jonnu Smith","TE","PIT","0.7","5.3","1.8","0","6.1","-","15.6","2","4.6","4.5","22.1","14.7","11.3","10.4","10.8","6.2","8.6","9.6","7.9","134.3"
"111","Mark Andrews","TE","BAL","1.4","5.1","0","0","5.5","12.6","16.1","9.6","2.6","12.8","2.2","10.6","12.9","BYE","8.4","9.8","12.8","11.4","7.9","133.8"
"112","Jauan Jennings","WR","SF","6.4","3.7","35.5","8.8","1.3","2.7","-","-","BYE","9.3","15.1","4","5.6","21","3.1","5.1","6.7","5.2","8.9","133.5"
"113","Buffalo Bills","DST","BUF","5","18","13","-1","5","6","11","9","3","19","6","BYE","12","-4","1","14","13","3","7.8","133"
"114","Kareem Hunt","RB","KC","-","-","-","8.5","17.7","BYE","20.3","12.3","17.7","10","6","8.7","1.5","2.9","4.9","13.9","8","-","10.2","132.4"
"115","Will Levis","QB","TEN","8.7","12.5","15.6","0.5","BYE","8.3","-","-","-","19.1","16.6","17.1","16.2","7","-1.4","-","-","11.8","11","131.9"
"116","DeVonta Smith","WR","PHI","8.4","13.6","7.9","-","BYE","12.4","-0.2","14.5","14.7","1.4","2.9","-","-","9.7","17","5.1","24","-","10.1","131.4"
"117","Blake Grupe","K","NO","22","8","6","7","1","10","4","8","12","8","5","BYE","10","2","10","0","4","14","7.7","131"
"117","Jakobi Meyers","WR","LV","6.4","2.9","14.2","4.9","7.2","-","-","11.2","10.5","BYE","4.8","12.1","9.7","6.7","5.9","4.1","12.1","18.3","8.7","131"
"117","Will Reichard","K","MIN","4","11","12","7","16","BYE","15","8","3","-","-","-","-","6","15","12","11","11","10.1","131"
"120","Rashod Bateman","WR","BAL","5.3","4","8.8","2.3","11.8","7.1","18.1","2.8","2.5","11.4","3","10.3","0","BYE","20","7.4","1.2","13.6","7.6","129.6"
"121","Darnell Mooney","WR","ATL","1.5","14.8","6.6","5.6","22.5","3.8","4.6","14.6","14.8","9.6","2.7","BYE","2","14.2","0","8.2","3.7","-","8.1","129.2"
"122","Xavier Worthy","WR","KC","18.8","2.2","3","13.3","8.8","BYE","2.4","9.7","-1","1.1","12.8","5.1","5.4","4.6","13.6","13.5","14.9","0","7.5","128.2"
"123","Los Angeles Chargers","DST","LAC","14","11","5","8","BYE","7","3","12","18","8","3","0","19","4","1","2","10","3","7.5","128"
