"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"194","JuJu Smith-Schuster","WR","KC","5.5","0.5","5.5","9.6","","","","","","","","","","","","","","","5.3","21.1"
"195","A.J. Brown","WR","PHI","0.8","2.7","16.9","0.7","","","","","","","","","","","","","","","5.3","21.1"
"196","Kareem Hunt","RB","KC","2.6","3.4","10.4","4.7","","","","","","","","","","","","","","","5.3","21.1"
"197","Jauan Jennings","WR","SF","1.6","14.9","-","4.4","","","","","","","","","","","","","","","7","20.9"
"198","AJ Barner","TE","SEA","0.2","8.8","2.3","9.2","","","","","","","","","","","","","","","5.1","20.5"
"199","Rachaad White","RB","TB","1.6","12.6","1.4","4.6","","","","","","","","","","","","","","","5.1","20.2"
"200","Green Bay Packers","DST","GB","10","5","8","-3","","","","","","","","","","","","","","","5","20"
"200","Mike Evans","WR","TB","5.1","5.6","9.3","-","","","","","","","","","","","","","","","6.7","20"
"200","Evan McPherson","K","CIN","5","7","5","3","","","","","","","","","","","","","","","5","20"
"203","Jaxson Dart","QB","NYG","-","-0.3","0.3","19.8","","","","","","","","","","","","","","","6.6","19.8"
"204","Tee Higgins","WR","CIN","3.3","11.6","1.5","3.2","","","","","","","","","","","","","","","4.9","19.6"
"205","Hunter Renfrow","WR","CAR","1.1","16.8","0.6","1","","","","","","","","","","","","","","","4.9","19.5"
"205","Kendre Miller","RB","NO","2.4","1","3.6","12.5","","","","","","","","","","","","","","","4.9","19.5"
"207","Dyami Brown","WR","JAC","5.8","12.6","0.7","-","","","","","","","","","","","","","","","6.4","19.1"
"208","San Francisco 49ers","DST","SF","9","5","5","0","","","","","","","","","","","","","","","4.8","19"
"209","Blake Corum","RB","LAR","1.6","10.4","5.3","1.6","","","","","","","","","","","","","","","4.7","18.9"
"210","Miles Sanders","RB","DAL","3","7.9","5.3","2.5","","","","","","","","","","","","","","","4.7","18.7"
"211","Antonio Gibson","RB","NE","0.3","8.8","0.8","8.7","","","","","","","","","","","","","","","4.7","18.6"
"212","Brenton Strange","TE","JAC","5.9","1.7","6.1","4.5","","","","","","","","","","","","","","","4.6","18.2"
"212","Jerry Jeudy","WR","CLE","6.6","5.1","1.7","4.8","","","","","","","","","","","","","","","4.6","18.2"
"214","Buffalo Bills","DST","BUF","0","10","2","6","","","","","","","","","","","","","","","4.5","18"
"214","Devontez Walker","WR","BAL","-","14.6","3.4","0","","","","","","","","","","","","","","","6","18"
"216","Jalen Nailor","WR","MIN","2.8","3.1","3.7","8.2","","","","","","","","","","","","","","","4.5","17.8"
"217","Sam LaPorta","TE","DET","7.9","2.6","3.3","3.9","","","","","","","","","","","","","","","4.4","17.7"
"218","Cole Kmet","TE","CHI","3.1","2.9","7","4.6","","","","","","","","","","","","","","","4.4","17.6"
"219","T.J. Hockenson","TE","MIN","1.5","1.2","10.9","3.9","","","","","","","","","","","","","","","4.4","17.5"
"220","Ladd McConkey","WR","LAC","7.4","4.8","4.1","1.1","","","","","","","","","","","","","","","4.4","17.4"
"221","Sterling Shepard","WR","TB","3.9","3.4","8","2","","","","","","","","","","","","","","","4.3","17.3"
"222","Dylan Sampson","RB","CLE","9.3","7.9","0.2","-0.2","","","","","","","","","","","","","","","4.3","17.2"
"222","Rashod Bateman","WR","BAL","1","1.5","12.3","2.4","","","","","","","","","","","","","","","4.3","17.2"
"224","Alec Pierce","WR","IND","3.6","6.8","6.7","-","","","","","","","","","","","","","","","5.7","17.1"
"225","Las Vegas Raiders","DST","LV","10","5","-1","3","","","","","","","","","","","","","","","4.3","17"
"225","Miami Dolphins","DST","MIA","0","8","1","8","","","","","","","","","","","","","","","4.3","17"
"225","Cleveland Browns","DST","CLE","4","-1","13","1","","","","","","","","","","","","","","","4.3","17"
"228","Parker Washington","WR","JAC","0","7.6","3.4","5.9","","","","","","","","","","","","","","","4.2","16.9"
"229","Malik Washington","WR","MIA","2.9","8.5","3.2","2.1","","","","","","","","","","","","","","","4.2","16.7"
"230","Jeremy McNichols","RB","WAS","2.5","0","13.8","0.3","","","","","","","","","","","","","","","4.2","16.6"
"230","Luther Burden III","WR","CHI","-0.3","0.5","16.8","-0.4","","","","","","","","","","","","","","","4.2","16.6"
"232","Harold Fannin Jr.","TE","CLE","6.6","4.8","2.5","2.5","","","","","","","","","","","","","","","4.1","16.4"
"233","Rico Dowdle","RB","CAR","1.6","1.9","9.8","3","","","","","","","","","","","","","","","4.1","16.3"
"234","Mack Hollins","WR","NE","0.3","6.8","2.7","6.4","","","","","","","","","","","","","","","4.1","16.2"
"234","Cooper Kupp","WR","SEA","1.5","9","3.1","2.6","","","","","","","","","","","","","","","4.1","16.2"
"236","Hunter Long","TE","JAC","6.6","0","1.2","8.3","","","","","","","","","","","","","","","4","16.1"
"237","Joe Burrow","QB","CIN","8.8","7","-","-","","","","","","","","","","","","","","","7.9","15.9"
"238","Matthew Golden","WR","GB","1.6","1.5","6.1","6.3","","","","","","","","","","","","","","","3.9","15.5"
"239","Zavier Scott","RB","MIN","-","-","5","10.4","","","","","","","","","","","","","","","7.7","15.4"
"240","Tutu Atwell","WR","LAR","0.4","0","0","14.8","","","","","","","","","","","","","","","3.8","15.2"
"241","Aaron Jones Sr.","RB","MIN","12.7","2.3","-","-","","","","","","","","","","","","","","","7.5","15"
"241","New Orleans Saints","DST","NO","8","5","-2","4","","","","","","","","","","","","","","","3.8","15"
"243","Terry McLaurin","WR","WAS","2.7","4.8","7.4","-","","","","","","","","","","","","","","","5","14.9"
"243","Jayden Higgins","WR","HOU","3.2","2.8","0.5","8.4","","","","","","","","","","","","","","","3.7","14.9"
"245","Elijah Moore","WR","BUF","1.1","9.7","4.1","0","","","","","","","","","","","","","","","3.7","14.9"
"246","Darren Waller","TE","MIA","-","-","-","14.7","","","","","","","","","","","","","","","14.7","14.7"
"247","Davis Allen","TE","LAR","7.3","6.8","0.3","0","","","","","","","","","","","","","","","3.6","14.4"
"248","Calvin Ridley","WR","TEN","2.7","5.7","2.7","3","","","","","","","","","","","","","","","3.5","14.1"
"249","Tommy Tremble","TE","CAR","0.2","2","1.6","10.2","","","","","","","","","","","","","","","3.5","14"
"249","Olamide Zaccheaus","WR","CHI","4.2","2.1","3.6","4.1","","","","","","","","","","","","","","","3.5","14"
"251","Joshua Palmer","WR","BUF","6.1","4.7","0.5","2.5","","","","","","","","","","","","","","","3.5","13.8"
"252","Darius Slayton","WR","NYG","0","6.1","3","4.4","","","","","","","","","","","","","","","3.4","13.5"
"253","Braelon Allen","RB","NYJ","6.9","1.1","4.7","0.6","","","","","","","","","","","","","","","3.3","13.3"
"254","Jonnu Smith","TE","PIT","7.5","2.7","2.3","0.6","","","","","","","","","","","","","","","3.3","13.1"
"255","New York Giants","DST","NYG","3","1","2","7","","","","","","","","","","","","","","","3.3","13"
